Time,Temp
0.9752672540817429, 25.917240923689878
1.8890240405059266,26.1989826
2.757092987608903, 26.467811115176644
3.579474095390669, 26.722161239175506
4.401855203172435, 26.975207003564115
5.2242363109542005, 27.23216584678348
6.046617418735966, 27.485211611172094
6.868998526517732, 27.735648656340203
7.691379634299498, 27.995216218780065
8.468072902760056, 28.238968420945643
9.244766171220615, 28.48956851106503
10.06714727900238,28.75174479
10.889528386784146, 29.017834153216516
11.711909494565912, 29.264358119553872
12.579978441668889, 29.52705614505834
13.448047388771862, 29.793928121315606
14.270428496553627, 30.056104402975972
15.092809604335397, 30.30915016736458
15.915190712117163, 30.560891572142943
16.691883980577717, 30.815730830995648
17.468577249038272, 31.07741797780217
18.29095835682004, 31.338289899852285
19.11333946460181, 31.603074900733148
19.890032733062366, 31.859055474244826
20.62103816220171, 32.10264463145912
21.397731430662272, 32.36090783428874
22.220112538444038, 32.628301554390106
22.996805806904593, 32.88917347644022
23.773499075365148, 33.148741038880075
24.595880183146914, 33.412221680150694
25.41826129092868, 33.68091975986231
26.10357888074682, 33.900704354189536
27.70265325698914, 34.41005678199238
28.525034364770907, 34.660493827160494
29.393103311873883, 34.93062670244339
30.30686009829807, 35.20767268366061
31.220616884722258, 35.468283733788674
32.08868583182523, 35.71702511146346
33.00244261824942, 35.98833191039558
33.96188724399481, 36.23602980038216
34.92133187, 36.50485831605481
35.92646433480681, 36.74284465585234
36.931596799873404, 36.98296540228483
37.93672926494001, 37.22308614871733
38.94186173000662, 37.453602065292515
39.946994195073216, 37.67131154205798
40.952126660139825, 37.88155059560109
41.95725912520642, 38.07578159938204
42.96239159027303, 38.254004553400826
43.96752405533964, 38.42048827092735
44.97265652040623, 38.58803919177136
45.97778898547284, 38.74278367280563
46.982921450539436, 38.894326543887466
47.988053915606045, 39.03733178842948
48.99318638067264, 39.16966499979672
49.97090614214652, 39.29410090661463
51.00345131080584, 39.42792820262634
52.00858377587245, 39.557059804041145
52.55683784772697, 39.627495222994675
54.84122981378742, 39.89429605236411
55.84636227885403, 39.99781477415945
56.851494743920625, 40.10453510590723
57.856627208987234, 40.21445704760744
58.86175967405384, 40.33184941252999
59.86689213912044, 40.44924177745254
60.87202460418705, 40.56983575232752
61.87715706925364, 40.690429727202506
62.88228953432025, 40.79501565231533
63.88742199938686, 40.909206407285446
64.89255446445345, 41.01059072244583
65.89768692952006, 41.10984063097126
66.90281939458666, 41.202687319591824
67.90795185965327, 41.286996381672566
68.91308432471988, 41.36596942716592
69.91821678978647, 41.44174086270684
70.92334925485308, 41.50684026507298
71.92848171991967, 41.56446924421678
72.93361418498628,41.62103102
73.93874665005289, 41.66798796601212
74.94387911511949, 41.704272878806364
75.94901158, 41.72775135179087
76.95414404525269, 41.74909541814043
77.95927651, 41.76617067122007
78.96440898, 41.78217872098224
79.55835088656163, 41.799253974061884
81.79705501330088, 41.859017359840635
82.80218747836747, 41.89530227263488
83.80731994343408, 41.93905760865147
84.81245240850068, 41.98601455462048
85.81758487356728, 42.032971500589504
86.82271734, 42.08313005651096
87.82784980370049, 42.143960645607194
88.83298227, 42.21119445460829
89.83811473383369, 42.302973939911375
90.8432472, 42.41396308492906
91.84837966396691, 42.52495222994675
92.85351213, 42.63807578159938
93.85864459410011, 42.73625848680734
94.86377705916671, 42.82590356547547
95.86890952423332, 42.899540594381435
96.87404198929993, 42.959303980160186
97.87917445436652, 43.036142619018584
98.88430691943313, 43.124720494369235
99.88943938449972, 43.21863438630728
100.89457184956633,43.33282514
101.89970431463294, 43.44167987966013
102.90483677969954,43.56760987
103.90996924476615, 43.69033825263244
104.82372603119033, 43.79492417774526
105.96592201422055, 43.92288185551084
108.57012885552949, 44.12148839289345
109.57526132059608, 44.191923811846976
110.5803937856627, 44.289039313737455
111.58552625072929, 44.406431678660006
112.59065871579588, 44.54516810993211
113.5957911808625, 44.71058462414116
114.6009236459291,44.87173233
115.6060561109957, 45.007267146399975
116.61118857606232, 45.15133959425947
117.61632104112891, 45.285807212261666
118.62145350619551, 45.41493881367647
119.62658597126213, 45.54407041509128
120.63171843632873, 45.682806846363384
121.63685090139532, 45.83434971744522
122.64198336646191, 45.99976623165427
123.64711583152854, 46.17478757572062
124.65224829659513, 46.35941374964427
125.65738076166173, 46.55257755010774
126.66251322672835, 46.750010163841125
127.66764569179495, 46.94957718420946
128.67277815686154, 47.14274098467293
129.67791062192816, 47.33910639508884
130.68304308699476, 47.536539008822224
131.68817555206135, 47.73183721592065
0, 25.601851851851844
26.84684684684684, 34.16666666666667
53.69369369369369, 39.76851851851852
80.54054054054052, 41.80555555555556
107.38738738738736, 44.027777777777786
