Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
196.68	0.10000	7.6237	0.13117	-38.934	-38.921	-139.66	153.38	199.93	1598.1	-0.51438	2284.8	0.15303	liquid
197.00	0.10000	7.6211	0.13121	-38.871	-38.858	-139.34	153.40	199.95	1596.6	-0.51427	2262.1	0.15294	liquid
197.31	0.10000	7.6185	0.13126	-38.808	-38.795	-139.02	153.43	199.97	1595.1	-0.51416	2239.7	0.15285	liquid
197.63	0.10000	7.6159	0.13130	-38.746	-38.733	-138.70	153.45	199.99	1593.6	-0.51405	2217.7	0.15276	liquid
197.94	0.10000	7.6132	0.13135	-38.683	-38.670	-138.39	153.48	200.01	1592.1	-0.51394	2196.0	0.15267	liquid
198.25	0.10000	7.6106	0.13140	-38.620	-38.607	-138.07	153.50	200.03	1590.6	-0.51382	2174.7	0.15258	liquid
198.57	0.10000	7.6080	0.13144	-38.557	-38.544	-137.75	153.53	200.05	1589.0	-0.51371	2153.7	0.15249	liquid
198.88	0.10000	7.6054	0.13149	-38.494	-38.481	-137.44	153.55	200.08	1587.5	-0.51359	2133.1	0.15240	liquid
199.20	0.10000	7.6027	0.13153	-38.432	-38.418	-137.12	153.58	200.10	1586.0	-0.51347	2112.8	0.15231	liquid
199.51	0.10000	7.6001	0.13158	-38.369	-38.356	-136.81	153.60	200.12	1584.5	-0.51335	2092.8	0.15222	liquid
199.82	0.10000	7.5975	0.13162	-38.306	-38.293	-136.49	153.63	200.14	1583.0	-0.51323	2073.1	0.15213	liquid
200.14	0.10000	7.5949	0.13167	-38.243	-38.230	-136.18	153.66	200.17	1581.5	-0.51310	2053.7	0.15204	liquid
200.45	0.10000	7.5922	0.13171	-38.180	-38.167	-135.86	153.69	200.19	1580.0	-0.51298	2034.7	0.15195	liquid
200.77	0.10000	7.5896	0.13176	-38.117	-38.104	-135.55	153.71	200.22	1578.5	-0.51285	2015.9	0.15186	liquid
201.08	0.10000	7.5870	0.13180	-38.054	-38.041	-135.24	153.74	200.24	1577.0	-0.51272	1997.4	0.15177	liquid
201.40	0.10000	7.5844	0.13185	-37.991	-37.978	-134.92	153.77	200.27	1575.5	-0.51259	1979.2	0.15168	liquid
201.71	0.10000	7.5818	0.13190	-37.929	-37.915	-134.61	153.80	200.29	1574.0	-0.51246	1961.2	0.15158	liquid
202.02	0.10000	7.5791	0.13194	-37.866	-37.852	-134.30	153.83	200.32	1572.5	-0.51232	1943.6	0.15149	liquid
202.34	0.10000	7.5765	0.13199	-37.803	-37.790	-133.99	153.86	200.35	1571.0	-0.51219	1926.1	0.15140	liquid
202.65	0.10000	7.5739	0.13203	-37.740	-37.727	-133.68	153.89	200.37	1569.5	-0.51205	1909.0	0.15131	liquid
202.97	0.10000	7.5713	0.13208	-37.677	-37.664	-133.37	153.92	200.40	1568.0	-0.51191	1892.1	0.15122	liquid
203.28	0.10000	7.5687	0.13212	-37.614	-37.601	-133.06	153.95	200.43	1566.5	-0.51177	1875.4	0.15113	liquid
203.59	0.10000	7.5661	0.13217	-37.551	-37.538	-132.75	153.99	200.46	1565.0	-0.51163	1859.0	0.15104	liquid
203.91	0.10000	7.5634	0.13221	-37.488	-37.475	-132.44	154.02	200.49	1563.5	-0.51149	1842.8	0.15095	liquid
204.22	0.10000	7.5608	0.13226	-37.425	-37.412	-132.13	154.05	200.52	1562.0	-0.51134	1826.9	0.15085	liquid
204.54	0.10000	7.5582	0.13231	-37.362	-37.349	-131.82	154.08	200.55	1560.5	-0.51120	1811.2	0.15076	liquid
204.85	0.10000	7.5556	0.13235	-37.299	-37.286	-131.51	154.12	200.58	1559.0	-0.51105	1795.7	0.15067	liquid
205.16	0.10000	7.5530	0.13240	-37.236	-37.223	-131.21	154.15	200.61	1557.5	-0.51090	1780.4	0.15058	liquid
205.48	0.10000	7.5504	0.13244	-37.173	-37.160	-130.90	154.18	200.64	1556.0	-0.51075	1765.3	0.15049	liquid
205.79	0.10000	7.5478	0.13249	-37.110	-37.097	-130.59	154.22	200.67	1554.5	-0.51059	1750.4	0.15039	liquid
206.11	0.10000	7.5452	0.13254	-37.047	-37.034	-130.29	154.25	200.70	1553.0	-0.51044	1735.8	0.15030	liquid
206.42	0.10000	7.5426	0.13258	-36.984	-36.971	-129.98	154.29	200.74	1551.5	-0.51028	1721.3	0.15021	liquid
