Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
244.42	0.10000	7.2292	0.13833	-29.242	-29.228	-95.569	161.29	207.69	1373.1	-0.48087	790.01	0.13871	liquid
244.74	0.10000	7.2266	0.13838	-29.176	-29.163	-95.302	161.37	207.77	1371.7	-0.48055	786.00	0.13861	liquid
245.05	0.10000	7.2240	0.13843	-29.111	-29.097	-95.036	161.44	207.85	1370.2	-0.48022	782.02	0.13852	liquid
245.37	0.10000	7.2214	0.13848	-29.046	-29.032	-94.770	161.52	207.93	1368.8	-0.47990	778.07	0.13842	liquid
245.68	0.10000	7.2188	0.13853	-28.981	-28.967	-94.504	161.60	208.01	1367.3	-0.47957	774.16	0.13832	liquid
245.99	0.10000	7.2162	0.13858	-28.915	-28.901	-94.238	161.68	208.09	1365.9	-0.47924	770.28	0.13822	liquid
246.31	0.10000	7.2137	0.13863	-28.850	-28.836	-93.972	161.76	208.17	1364.4	-0.47891	766.42	0.13813	liquid
246.62	0.10000	7.2111	0.13868	-28.784	-28.771	-93.707	161.84	208.25	1363.0	-0.47858	762.60	0.13803	liquid
246.94	0.10000	7.2085	0.13873	-28.719	-28.705	-93.442	161.92	208.33	1361.5	-0.47825	758.81	0.13793	liquid
247.25	0.10000	7.2059	0.13877	-28.654	-28.640	-93.177	162.00	208.42	1360.1	-0.47792	755.05	0.13784	liquid
247.57	0.10000	7.2033	0.13882	-28.588	-28.574	-92.912	162.08	208.50	1358.7	-0.47759	751.32	0.13774	liquid
247.88	0.10000	7.2007	0.13887	-28.523	-28.509	-92.648	162.16	208.58	1357.2	-0.47726	747.62	0.13764	liquid
248.19	0.10000	7.1982	0.13892	-28.457	-28.443	-92.384	162.24	208.67	1355.8	-0.47692	743.95	0.13755	liquid
248.51	0.10000	7.1956	0.13897	-28.392	-28.378	-92.120	162.32	208.75	1354.3	-0.47658	740.30	0.13745	liquid
248.82	0.10000	7.1930	0.13902	-28.326	-28.312	-91.856	162.40	208.83	1352.9	-0.47625	736.69	0.13735	liquid
249.14	0.10000	7.1904	0.13907	-28.260	-28.247	-91.592	162.48	208.92	1351.4	-0.47591	733.10	0.13726	liquid
249.45	0.10000	7.1878	0.13912	-28.195	-28.181	-91.329	162.57	209.00	1350.0	-0.47557	729.54	0.13716	liquid
249.76	0.10000	7.1852	0.13917	-28.129	-28.115	-91.066	162.65	209.09	1348.6	-0.47523	726.01	0.13706	liquid
250.08	0.10000	7.1827	0.13922	-28.063	-28.050	-90.803	162.73	209.17	1347.1	-0.47488	722.51	0.13696	liquid
250.39	0.10000	7.1801	0.13927	-27.998	-27.984	-90.541	162.81	209.26	1345.7	-0.47454	719.03	0.13687	liquid
250.71	0.10000	7.1775	0.13932	-27.932	-27.918	-90.278	162.90	209.34	1344.2	-0.47420	715.58	0.13677	liquid
251.02	0.10000	7.1749	0.13937	-27.866	-27.852	-90.016	162.98	209.43	1342.8	-0.47385	712.16	0.13667	liquid
251.33	0.10000	7.1723	0.13943	-27.800	-27.787	-89.754	163.06	209.52	1341.4	-0.47351	708.76	0.13658	liquid
251.65	0.10000	7.1697	0.13948	-27.735	-27.721	-89.493	163.15	209.60	1339.9	-0.47316	705.39	0.13648	liquid
251.96	0.10000	7.1671	0.13953	-27.669	-27.655	-89.231	163.23	209.69	1338.5	-0.47281	702.04	0.13638	liquid
252.28	0.10000	7.1646	0.13958	-27.603	-27.589	-88.970	163.31	209.78	1337.0	-0.47246	698.72	0.13629	liquid
252.59	0.10000	7.1620	0.13963	-27.537	-27.523	-88.709	163.40	209.86	1335.6	-0.47211	695.43	0.13619	liquid
252.90	0.10000	7.1594	0.13968	-27.471	-27.457	-88.448	163.48	209.95	1334.2	-0.47176	692.15	0.13609	liquid
253.22	0.10000	7.1568	0.13973	-27.405	-27.391	-88.187	163.57	210.04	1332.7	-0.47140	688.91	0.13599	liquid
253.53	0.10000	7.1542	0.13978	-27.339	-27.325	-87.927	163.65	210.13	1331.3	-0.47105	685.69	0.13590	liquid
253.85	0.10000	7.1516	0.13983	-27.273	-27.259	-87.667	163.74	210.22	1329.9	-0.47069	682.49	0.13580	liquid
254.16	0.10000	7.1490	0.13988	-27.207	-27.193	-87.407	163.82	210.30	1328.4	-0.47034	679.31	0.13570	liquid
254.48	0.10000	7.1464	0.13993	-27.141	-27.127	-87.147	163.91	210.39	1327.0	-0.46998	676.16	0.13561	liquid
254.79	0.10000	7.1439	0.13998	-27.075	-27.061	-86.887	164.00	210.48	1325.5	-0.46962	673.03	0.13551	liquid
255.10	0.10000	7.1413	0.14003	-27.009	-26.995	-86.628	164.08	210.57	1324.1	-0.46926	669.93	0.13541	liquid
255.42	0.10000	7.1387	0.14008	-26.943	-26.929	-86.369	164.17	210.66	1322.7	-0.46890	666.84	0.13532	liquid
255.73	0.10000	7.1361	0.14013	-26.877	-26.863	-86.110	164.26	210.75	1321.2	-0.46854	663.78	0.13522	liquid
256.05	0.10000	7.1335	0.14018	-26.810	-26.796	-85.851	164.34	210.84	1319.8	-0.46818	660.75	0.13512	liquid
256.36	0.10000	7.1309	0.14023	-26.744	-26.730	-85.593	164.43	210.94	1318.4	-0.46781	657.73	0.13502	liquid
256.67	0.10000	7.1283	0.14029	-26.678	-26.664	-85.334	164.52	211.03	1317.0	-0.46745	654.74	0.13493	liquid
256.99	0.10000	7.1257	0.14034	-26.612	-26.598	-85.076	164.61	211.12	1315.5	-0.46708	651.76	0.13483	liquid
257.30	0.10000	7.1232	0.14039	-26.545	-26.531	-84.818	164.69	211.21	1314.1	-0.46672	648.81	0.13473	liquid
257.62	0.10000	7.1206	0.14044	-26.479	-26.465	-84.560	164.78	211.30	1312.7	-0.46635	645.88	0.13464	liquid
257.93	0.10000	7.1180	0.14049	-26.413	-26.398	-84.303	164.87	211.39	1311.2	-0.46598	642.98	0.13454	liquid
258.24	0.10000	7.1154	0.14054	-26.346	-26.332	-84.046	164.96	211.49	1309.8	-0.46561	640.09	0.13444	liquid
258.56	0.10000	7.1128	0.14059	-26.280	-26.266	-83.789	165.05	211.58	1308.4	-0.46524	637.22	0.13434	liquid
258.87	0.10000	7.1102	0.14064	-26.213	-26.199	-83.532	165.14	211.67	1306.9	-0.46487	634.37	0.13425	liquid
259.19	0.10000	7.1076	0.14069	-26.147	-26.133	-83.275	165.23	211.77	1305.5	-0.46449	631.55	0.13415	liquid
259.50	0.10000	7.1050	0.14075	-26.080	-26.066	-83.018	165.32	211.86	1304.1	-0.46412	628.74	0.13405	liquid
259.81	0.10000	7.1024	0.14080	-26.014	-26.000	-82.762	165.41	211.95	1302.7	-0.46374	625.95	0.13396	liquid
260.13	0.10000	7.0998	0.14085	-25.947	-25.933	-82.506	165.50	212.05	1301.2	-0.46337	623.18	0.13386	liquid
260.44	0.10000	7.0972	0.14090	-25.880	-25.866	-82.250	165.59	212.14	1299.8	-0.46299	620.43	0.13376	liquid
260.76	0.10000	7.0946	0.14095	-25.814	-25.800	-81.994	165.68	212.24	1298.4	-0.46261	617.71	0.13367	liquid
261.07	0.10000	7.0921	0.14100	-25.747	-25.733	-81.739	165.77	212.33	1297.0	-0.46223	614.99	0.13357	liquid
261.38	0.10000	7.0895	0.14105	-25.680	-25.666	-81.483	165.86	212.43	1295.5	-0.46185	612.30	0.13347	liquid
261.70	0.10000	7.0869	0.14111	-25.614	-25.600	-81.228	165.95	212.52	1294.1	-0.46147	609.63	0.13337	liquid
262.01	0.10000	7.0843	0.14116	-25.547	-25.533	-80.973	166.04	212.62	1292.7	-0.46109	606.98	0.13328	liquid
262.33	0.10000	7.0817	0.14121	-25.480	-25.466	-80.718	166.13	212.71	1291.3	-0.46071	604.34	0.13318	liquid
262.64	0.10000	7.0791	0.14126	-25.413	-25.399	-80.464	166.23	212.81	1289.9	-0.46032	601.72	0.13308	liquid
262.96	0.10000	7.0765	0.14131	-25.347	-25.332	-80.209	166.32	212.91	1288.4	-0.45994	599.12	0.13299	liquid
263.27	0.10000	7.0739	0.14136	-25.280	-25.266	-79.955	166.41	213.00	1287.0	-0.45955	596.54	0.13289	liquid
263.58	0.10000	7.0713	0.14142	-25.213	-25.199	-79.701	166.50	213.10	1285.6	-0.45916	593.97	0.13279	liquid
263.90	0.10000	7.0687	0.14147	-25.146	-25.132	-79.447	166.60	213.20	1284.2	-0.45877	591.42	0.13270	liquid
264.21	0.10000	7.0661	0.14152	-25.079	-25.065	-79.194	166.69	213.29	1282.8	-0.45838	588.89	0.13260	liquid
264.53	0.10000	7.0635	0.14157	-25.012	-24.998	-78.940	166.78	213.39	1281.3	-0.45799	586.38	0.13250	liquid
264.84	0.10000	7.0609	0.14162	-24.945	-24.931	-78.687	166.88	213.49	1279.9	-0.45760	583.88	0.13240	liquid
265.15	0.10000	7.0583	0.14168	-24.878	-24.864	-78.434	166.97	213.59	1278.5	-0.45721	581.40	0.13231	liquid
265.47	0.10000	7.0557	0.14173	-24.811	-24.796	-78.181	167.06	213.69	1277.1	-0.45682	578.94	0.13221	liquid
265.78	0.10000	7.0531	0.14178	-24.744	-24.729	-77.928	167.16	213.79	1275.7	-0.45642	576.49	0.13211	liquid
266.10	0.10000	7.0505	0.14183	-24.676	-24.662	-77.676	167.25	213.89	1274.2	-0.45603	574.06	0.13202	liquid
266.41	0.10000	7.0479	0.14189	-24.609	-24.595	-77.423	167.35	213.98	1272.8	-0.45563	571.65	0.13192	liquid
266.72	0.10000	7.0453	0.14194	-24.542	-24.528	-77.171	167.44	214.08	1271.4	-0.45523	569.25	0.13182	liquid
267.04	0.10000	7.0427	0.14199	-24.475	-24.460	-76.919	167.54	214.18	1270.0	-0.45484	566.87	0.13173	liquid
267.35	0.10000	7.0401	0.14204	-24.407	-24.393	-76.667	167.63	214.28	1268.6	-0.45444	564.50	0.13163	liquid
267.67	0.10000	7.0375	0.14210	-24.340	-24.326	-76.416	167.73	214.38	1267.2	-0.45404	562.15	0.13153	liquid
267.98	0.10000	7.0349	0.14215	-24.273	-24.259	-76.164	167.82	214.48	1265.8	-0.45364	559.81	0.13143	liquid
268.29	0.10000	7.0323	0.14220	-24.205	-24.191	-75.913	167.92	214.58	1264.3	-0.45323	557.49	0.13134	liquid
268.61	0.10000	7.0297	0.14225	-24.138	-24.124	-75.662	168.01	214.69	1262.9	-0.45283	555.18	0.13124	liquid
268.92	0.10000	7.0271	0.14231	-24.071	-24.056	-75.411	168.11	214.79	1261.5	-0.45243	552.89	0.13114	liquid
269.24	0.10000	7.0245	0.14236	-24.003	-23.989	-75.160	168.20	214.89	1260.1	-0.45202	550.61	0.13105	liquid
269.55	0.10000	7.0219	0.14241	-23.936	-23.921	-74.910	168.30	214.99	1258.7	-0.45162	548.35	0.13095	liquid
269.87	0.10000	7.0193	0.14246	-23.868	-23.854	-74.659	168.40	215.09	1257.3	-0.45121	546.11	0.13085	liquid
270.18	0.10000	7.0167	0.14252	-23.800	-23.786	-74.409	168.49	215.19	1255.9	-0.45080	543.87	0.13076	liquid
270.49	0.10000	7.0141	0.14257	-23.733	-23.719	-74.159	168.59	215.30	1254.5	-0.45039	541.65	0.13066	liquid
270.81	0.10000	7.0115	0.14262	-23.665	-23.651	-73.909	168.69	215.40	1253.1	-0.44998	539.45	0.13056	liquid
271.12	0.10000	7.0089	0.14268	-23.598	-23.583	-73.659	168.79	215.50	1251.6	-0.44957	537.26	0.13047	liquid
271.44	0.10000	7.0063	0.14273	-23.530	-23.516	-73.410	168.88	215.60	1250.2	-0.44916	535.08	0.13037	liquid
271.75	0.10000	7.0037	0.14278	-23.462	-23.448	-73.160	168.98	215.71	1248.8	-0.44875	532.92	0.13027	liquid
272.06	0.10000	7.0011	0.14284	-23.394	-23.380	-72.911	169.08	215.81	1247.4	-0.44833	530.77	0.13018	liquid
272.38	0.10000	6.9984	0.14289	-23.327	-23.312	-72.662	169.18	215.91	1246.0	-0.44792	528.63	0.13008	liquid
272.69	0.10000	6.9958	0.14294	-23.259	-23.244	-72.413	169.28	216.02	1244.6	-0.44750	526.51	0.12998	liquid
273.01	0.10000	6.9932	0.14300	-23.191	-23.177	-72.164	169.37	216.12	1243.2	-0.44709	524.40	0.12989	liquid
273.32	0.10000	6.9906	0.14305	-23.123	-23.109	-71.916	169.47	216.23	1241.8	-0.44667	522.31	0.12979	liquid
273.63	0.10000	6.9880	0.14310	-23.055	-23.041	-71.667	169.57	216.33	1240.4	-0.44625	520.22	0.12969	liquid
273.95	0.10000	6.9854	0.14316	-22.987	-22.973	-71.419	169.67	216.44	1239.0	-0.44583	518.15	0.12960	liquid
274.26	0.10000	6.9828	0.14321	-22.919	-22.905	-71.171	169.77	216.54	1237.6	-0.44541	516.10	0.12950	liquid
274.58	0.10000	6.9802	0.14326	-22.851	-22.837	-70.923	169.87	216.65	1236.2	-0.44499	514.05	0.12940	liquid
274.89	0.10000	6.9776	0.14332	-22.783	-22.769	-70.675	169.97	216.75	1234.8	-0.44457	512.02	0.12931	liquid
275.20	0.10000	6.9750	0.14337	-22.715	-22.701	-70.428	170.07	216.86	1233.4	-0.44414	510.00	0.12921	liquid
275.52	0.10000	6.9723	0.14342	-22.647	-22.632	-70.180	170.17	216.96	1232.0	-0.44372	508.00	0.12911	liquid
275.83	0.10000	6.9697	0.14348	-22.579	-22.564	-69.933	170.27	217.07	1230.6	-0.44329	506.00	0.12902	liquid
276.15	0.10000	6.9671	0.14353	-22.510	-22.496	-69.686	170.37	217.18	1229.2	-0.44287	504.02	0.12892	liquid
276.46	0.10000	6.9645	0.14359	-22.442	-22.428	-69.439	170.47	217.28	1227.8	-0.44244	502.05	0.12882	liquid
276.78	0.10000	6.9619	0.14364	-22.374	-22.360	-69.192	170.57	217.39	1226.4	-0.44201	500.09	0.12873	liquid
277.09	0.10000	6.9593	0.14369	-22.306	-22.291	-68.946	170.67	217.50	1225.0	-0.44159	498.14	0.12863	liquid
277.40	0.10000	6.9567	0.14375	-22.237	-22.223	-68.699	170.77	217.60	1223.6	-0.44116	496.21	0.12853	liquid
277.72	0.10000	6.9540	0.14380	-22.169	-22.155	-68.453	170.87	217.71	1222.2	-0.44073	494.29	0.12844	liquid
278.03	0.10000	6.9514	0.14386	-22.101	-22.086	-68.207	170.98	217.82	1220.8	-0.44029	492.37	0.12834	liquid
278.35	0.10000	6.9488	0.14391	-22.032	-22.018	-67.961	171.08	217.93	1219.4	-0.43986	490.47	0.12824	liquid
278.66	0.10000	6.9462	0.14396	-21.964	-21.949	-67.715	171.18	218.03	1218.0	-0.43943	488.58	0.12815	liquid
278.97	0.10000	6.9436	0.14402	-21.895	-21.881	-67.469	171.28	218.14	1216.6	-0.43899	486.71	0.12805	liquid
279.29	0.10000	6.9409	0.14407	-21.827	-21.812	-67.224	171.38	218.25	1215.2	-0.43856	484.84	0.12795	liquid
279.60	0.10000	6.9383	0.14413	-21.758	-21.744	-66.978	171.48	218.36	1213.8	-0.43812	482.98	0.12786	liquid
279.92	0.10000	6.9357	0.14418	-21.690	-21.675	-66.733	171.59	218.47	1212.4	-0.43768	481.14	0.12776	liquid
280.23	0.10000	6.9331	0.14424	-21.621	-21.607	-66.488	171.69	218.58	1211.0	-0.43725	479.31	0.12766	liquid
280.54	0.10000	6.9305	0.14429	-21.552	-21.538	-66.243	171.79	218.69	1209.6	-0.43681	477.48	0.12757	liquid
280.86	0.10000	6.9278	0.14435	-21.484	-21.469	-65.999	171.90	218.80	1208.2	-0.43637	475.67	0.12747	liquid
281.17	0.10000	6.9252	0.14440	-21.415	-21.400	-65.754	172.00	218.91	1206.8	-0.43593	473.87	0.12738	liquid
281.49	0.10000	6.9226	0.14445	-21.346	-21.332	-65.509	172.10	219.02	1205.4	-0.43549	472.08	0.12728	liquid
281.80	0.10000	6.9200	0.14451	-21.277	-21.263	-65.265	172.20	219.13	1204.1	-0.43504	470.30	0.12718	liquid
282.11	0.10000	6.9173	0.14456	-21.208	-21.194	-65.021	172.31	219.24	1202.7	-0.43460	468.53	0.12709	liquid
282.43	0.10000	6.9147	0.14462	-21.140	-21.125	-64.777	172.41	219.35	1201.3	-0.43416	466.77	0.12699	liquid
282.74	0.10000	6.9121	0.14467	-21.071	-21.056	-64.533	172.52	219.46	1199.9	-0.43371	465.02	0.12689	liquid
283.06	0.10000	6.9095	0.14473	-21.002	-20.987	-64.289	172.62	219.57	1198.5	-0.43326	463.28	0.12680	liquid
283.37	0.10000	6.9068	0.14478	-20.933	-20.918	-64.046	172.72	219.68	1197.1	-0.43282	461.55	0.12670	liquid
283.68	0.10000	6.9042	0.14484	-20.864	-20.849	-63.802	172.83	219.79	1195.7	-0.43237	459.83	0.12660	liquid
284.00	0.10000	6.9016	0.14489	-20.795	-20.780	-63.559	172.93	219.90	1194.3	-0.43192	458.12	0.12651	liquid
284.31	0.10000	6.8989	0.14495	-20.726	-20.711	-63.316	173.04	220.01	1192.9	-0.43147	456.42	0.12641	liquid
284.63	0.10000	6.8963	0.14500	-20.657	-20.642	-63.073	173.14	220.12	1191.5	-0.43102	454.73	0.12632	liquid
284.94	0.10000	6.8937	0.14506	-20.587	-20.573	-62.830	173.25	220.24	1190.2	-0.43057	453.05	0.12622	liquid
285.26	0.10000	6.8911	0.14512	-20.518	-20.504	-62.588	173.35	220.35	1188.8	-0.43011	451.38	0.12612	liquid
285.57	0.10000	6.8884	0.14517	-20.449	-20.434	-62.345	173.46	220.46	1187.4	-0.42966	449.72	0.12603	liquid
285.88	0.10000	6.8858	0.14523	-20.380	-20.365	-62.103	173.56	220.57	1186.0	-0.42921	448.06	0.12593	liquid
286.20	0.10000	6.8832	0.14528	-20.310	-20.296	-61.860	173.67	220.69	1184.6	-0.42875	446.42	0.12584	liquid
286.51	0.10000	6.8805	0.14534	-20.241	-20.227	-61.618	173.77	220.80	1183.2	-0.42829	444.79	0.12574	liquid
286.83	0.10000	6.8779	0.14539	-20.172	-20.157	-61.376	173.88	220.91	1181.9	-0.42784	443.16	0.12564	liquid
287.14	0.10000	6.8753	0.14545	-20.102	-20.088	-61.134	173.98	221.03	1180.5	-0.42738	441.55	0.12555	liquid
287.45	0.10000	6.8726	0.14551	-20.033	-20.018	-60.893	174.09	221.14	1179.1	-0.42692	439.94	0.12545	liquid
287.77	0.10000	6.8700	0.14556	-19.963	-19.949	-60.651	174.20	221.25	1177.7	-0.42646	438.34	0.12536	liquid
288.08	0.10000	6.8673	0.14562	-19.894	-19.879	-60.410	174.30	221.37	1176.3	-0.42600	436.75	0.12526	liquid
288.40	0.10000	6.8647	0.14567	-19.824	-19.810	-60.168	174.41	221.48	1174.9	-0.42554	435.17	0.12516	liquid
288.71	0.10000	6.8621	0.14573	-19.755	-19.740	-59.927	174.52	221.59	1173.6	-0.42507	433.60	0.12507	liquid
289.02	0.10000	6.8594	0.14578	-19.685	-19.671	-59.686	174.62	221.71	1172.2	-0.42461	432.04	0.12497	liquid
289.34	0.10000	6.8568	0.14584	-19.616	-19.601	-59.445	174.73	221.82	1170.8	-0.42414	430.49	0.12488	liquid
289.65	0.10000	6.8541	0.14590	-19.546	-19.531	-59.205	174.84	221.94	1169.4	-0.42368	428.94	0.12478	liquid
289.97	0.10000	6.8515	0.14595	-19.476	-19.462	-58.964	174.94	222.05	1168.0	-0.42321	427.40	0.12469	liquid
290.28	0.10000	6.8489	0.14601	-19.406	-19.392	-58.724	175.05	222.17	1166.7	-0.42274	425.87	0.12459	liquid
290.59	0.10000	6.8462	0.14607	-19.337	-19.322	-58.483	175.16	222.28	1165.3	-0.42228	424.35	0.12449	liquid
290.91	0.10000	6.8436	0.14612	-19.267	-19.252	-58.243	175.27	222.40	1163.9	-0.42181	422.84	0.12440	liquid
291.22	0.10000	6.8409	0.14618	-19.197	-19.182	-58.003	175.37	222.51	1162.5	-0.42134	421.34	0.12430	liquid
291.54	0.10000	6.8383	0.14624	-19.127	-19.112	-57.763	175.48	222.63	1161.2	-0.42087	419.84	0.12421	liquid
291.85	0.10000	6.8356	0.14629	-19.057	-19.042	-57.523	175.59	222.75	1159.8	-0.42039	418.36	0.12411	liquid
292.17	0.10000	6.8330	0.14635	-18.987	-18.972	-57.284	175.70	222.86	1158.4	-0.41992	416.88	0.12402	liquid
292.48	0.10000	6.8303	0.14641	-18.917	-18.902	-57.044	175.81	222.98	1157.0	-0.41945	415.40	0.12392	liquid
292.79	0.10000	6.8277	0.14646	-18.847	-18.832	-56.805	175.91	223.09	1155.7	-0.41897	413.94	0.12382	liquid
293.11	0.10000	6.8250	0.14652	-18.777	-18.762	-56.566	176.02	223.21	1154.3	-0.41850	412.48	0.12373	liquid
293.42	0.10000	6.8224	0.14658	-18.707	-18.692	-56.327	176.13	223.33	1152.9	-0.41802	411.04	0.12363	liquid
293.74	0.10000	6.8197	0.14663	-18.637	-18.622	-56.088	176.24	223.44	1151.5	-0.41754	409.60	0.12354	liquid
294.05	0.10000	6.8171	0.14669	-18.567	-18.552	-55.849	176.35	223.56	1150.2	-0.41706	408.16	0.12344	liquid
294.36	0.10000	6.8144	0.14675	-18.496	-18.482	-55.610	176.46	223.68	1148.8	-0.41658	406.74	0.12335	liquid
294.68	0.10000	6.8118	0.14680	-18.426	-18.411	-55.371	176.57	223.80	1147.4	-0.41610	405.32	0.12325	liquid
294.99	0.10000	6.8091	0.14686	-18.356	-18.341	-55.133	176.68	223.91	1146.0	-0.41562	403.91	0.12316	liquid
295.31	0.10000	6.8065	0.14692	-18.285	-18.271	-54.895	176.79	224.03	1144.7	-0.41514	402.51	0.12306	liquid
295.62	0.10000	6.8038	0.14698	-18.215	-18.200	-54.656	176.90	224.15	1143.3	-0.41466	401.11	0.12297	liquid
295.93	0.10000	6.8011	0.14703	-18.145	-18.130	-54.418	177.01	224.27	1141.9	-0.41417	399.72	0.12287	liquid
296.25	0.10000	6.7985	0.14709	-18.074	-18.059	-54.180	177.11	224.39	1140.6	-0.41369	398.34	0.12277	liquid
296.56	0.10000	6.7958	0.14715	-18.004	-17.989	-53.942	177.22	224.50	1139.2	-0.41320	396.97	0.12268	liquid
296.88	0.10000	6.7932	0.14721	-17.933	-17.918	-53.705	177.33	224.62	1137.8	-0.41272	395.60	0.12258	liquid
297.19	0.10000	6.7905	0.14726	-17.863	-17.848	-53.467	177.44	224.74	1136.5	-0.41223	394.24	0.12249	liquid
297.50	0.10000	6.7878	0.14732	-17.792	-17.777	-53.230	177.55	224.86	1135.1	-0.41174	392.89	0.12239	liquid
297.82	0.10000	6.7852	0.14738	-17.721	-17.707	-52.992	177.67	224.98	1133.7	-0.41125	391.54	0.12230	liquid
298.13	0.10000	6.7825	0.14744	-17.651	-17.636	-52.755	177.78	225.10	1132.4	-0.41076	390.20	0.12220	liquid
298.45	0.10000	6.7798	0.14750	-17.580	-17.565	-52.518	177.89	225.22	1131.0	-0.41027	388.87	0.12211	liquid
298.76	0.10000	6.7772	0.14755	-17.509	-17.494	-52.281	178.00	225.34	1129.6	-0.40978	387.55	0.12201	liquid
299.07	0.10000	6.7745	0.14761	-17.438	-17.424	-52.044	178.11	225.46	1128.3	-0.40928	386.23	0.12192	liquid
299.39	0.10000	6.7718	0.14767	-17.368	-17.353	-51.808	178.22	225.58	1126.9	-0.40879	384.92	0.12182	liquid
299.70	0.10000	6.7692	0.14773	-17.297	-17.282	-51.571	178.33	225.70	1125.5	-0.40829	383.61	0.12173	liquid
300.02	0.10000	6.7665	0.14779	-17.226	-17.211	-51.335	178.44	225.82	1124.2	-0.40780	382.32	0.12163	liquid
300.33	0.10000	6.7638	0.14785	-17.155	-17.140	-51.098	178.55	225.94	1122.8	-0.40730	381.02	0.12154	liquid
300.65	0.10000	6.7612	0.14790	-17.084	-17.069	-50.862	178.66	226.06	1121.4	-0.40680	379.74	0.12144	liquid
300.96	0.10000	6.7585	0.14796	-17.013	-16.998	-50.626	178.77	226.18	1120.1	-0.40630	378.46	0.12135	liquid
301.27	0.10000	6.7558	0.14802	-16.942	-16.927	-50.390	178.89	226.30	1118.7	-0.40580	377.19	0.12125	liquid
301.59	0.10000	6.7531	0.14808	-16.871	-16.856	-50.154	179.00	226.42	1117.4	-0.40530	375.92	0.12116	liquid
301.90	0.10000	6.7505	0.14814	-16.800	-16.785	-49.918	179.11	226.54	1116.0	-0.40480	374.66	0.12106	liquid
302.22	0.10000	6.7478	0.14820	-16.728	-16.714	-49.683	179.22	226.66	1114.6	-0.40430	373.41	0.12097	liquid
302.53	0.10000	6.7451	0.14826	-16.657	-16.642	-49.447	179.33	226.78	1113.3	-0.40379	372.17	0.12087	liquid
302.84	0.10000	6.7424	0.14831	-16.586	-16.571	-49.212	179.45	226.90	1111.9	-0.40329	370.93	0.12078	liquid
303.16	0.10000	6.7398	0.14837	-16.515	-16.500	-48.977	179.56	227.03	1110.6	-0.40278	369.69	0.12068	liquid
303.47	0.10000	6.7371	0.14843	-16.443	-16.429	-48.741	179.67	227.15	1109.2	-0.40228	368.46	0.12059	liquid
303.79	0.10000	6.7344	0.14849	-16.372	-16.357	-48.506	179.78	227.27	1107.8	-0.40177	367.24	0.12050	liquid
304.10	0.10000	6.7317	0.14855	-16.301	-16.286	-48.271	179.90	227.39	1106.5	-0.40126	366.02	0.12040	liquid
304.41	0.10000	6.7290	0.14861	-16.229	-16.214	-48.037	180.01	227.51	1105.1	-0.40075	364.81	0.12031	liquid
304.73	0.10000	6.7264	0.14867	-16.158	-16.143	-47.802	180.12	227.64	1103.8	-0.40024	363.61	0.12021	liquid
305.04	0.10000	6.7237	0.14873	-16.086	-16.071	-47.567	180.23	227.76	1102.4	-0.39973	362.41	0.12012	liquid
305.36	0.10000	6.7210	0.14879	-16.015	-16.000	-47.333	180.35	227.88	1101.1	-0.39921	361.22	0.12002	liquid
305.67	0.10000	6.7183	0.14885	-15.943	-15.928	-47.099	180.46	228.00	1099.7	-0.39870	360.03	0.11993	liquid
305.98	0.10000	6.7156	0.14891	-15.871	-15.857	-46.864	180.57	228.13	1098.3	-0.39819	358.85	0.11983	liquid
306.30	0.10000	6.7129	0.14897	-15.800	-15.785	-46.630	180.69	228.25	1097.0	-0.39767	357.68	0.11974	liquid
306.61	0.10000	6.7102	0.14903	-15.728	-15.713	-46.396	180.80	228.37	1095.6	-0.39715	356.51	0.11965	liquid
306.93	0.10000	6.7075	0.14909	-15.656	-15.641	-46.162	180.91	228.50	1094.3	-0.39664	355.35	0.11955	liquid
307.24	0.10000	6.7048	0.14915	-15.585	-15.570	-45.929	181.03	228.62	1092.9	-0.39612	354.19	0.11946	liquid
307.56	0.10000	6.7022	0.14921	-15.513	-15.498	-45.695	181.14	228.74	1091.6	-0.39560	353.04	0.11936	liquid
307.87	0.10000	6.6995	0.14927	-15.441	-15.426	-45.461	181.25	228.87	1090.2	-0.39508	351.89	0.11927	liquid
308.18	0.10000	6.6968	0.14933	-15.369	-15.354	-45.228	181.37	228.99	1088.9	-0.39456	350.75	0.11917	liquid
308.50	0.10000	6.6941	0.14939	-15.297	-15.282	-44.995	181.48	229.12	1087.5	-0.39404	349.61	0.11908	liquid
308.81	0.10000	6.6914	0.14945	-15.225	-15.210	-44.761	181.60	229.24	1086.2	-0.39351	348.48	0.11899	liquid
309.13	0.10000	6.6887	0.14951	-15.153	-15.138	-44.528	181.71	229.36	1084.8	-0.39299	347.36	0.11889	liquid
309.44	0.10000	6.6860	0.14957	-15.081	-15.066	-44.295	181.82	229.49	1083.5	-0.39246	346.24	0.11880	liquid
309.75	0.10000	6.6833	0.14963	-15.009	-14.994	-44.063	181.94	229.61	1082.1	-0.39194	345.12	0.11870	liquid
