Time (s),Temperature (K)
0.0,288.13
30.72983354673496,304.5847222131101
61.45966709346992,309.9258488138105
92.18950064020487,311.6164936886435
122.91933418693984,312.1478754391031
153.6491677336748,312.31401407884255
184.37900128040974,312.36588956928233
215.1088348271447,312.38204541006763
245.83866837387967,312.38711231532534
276.5685019206146,312.3887194694126
307.2983354673496,312.38918379895506
338.02816901408454,312.3893356810584
368.7580025608195,312.38938566262215
399.4878361075545,312.38940214531124
430.2176696542894,312.38941471627504
460.9475032010244,312.3894192263988
491.67733674775934,312.38941597000417
522.4071702944943,312.38941686345885
553.1370038412292,312.38941583246316
583.8668373879642,312.3894129330221
614.5966709346992,312.38941202390015
645.3265044814341,312.38941115103165
676.0563380281691,312.38941031933336
706.7861715749041,312.38941029663516
737.516005121639,312.389410273937
768.245838668374,312.38941025123887
798.975672215109,312.38941022854067
829.7055057618439,312.3894102058425
860.4353393085788,312.3894101831444
891.1651728553138,312.38941016044623
921.8950064020488,312.38941013774803
952.6248399487837,312.3894101150499
983.3546734955187,312.38941009235174
1014.0845070422537,312.38941006965354
1044.8143405889887,312.3894100469554
1075.5441741357236,312.38941002425724
1106.2740076824584,312.38941000155904
1137.0038412291935,312.3894099788609
1167.7336747759284,312.38940995616275
1198.4635083226633,312.3894099334646
1229.1933418693984,312.3894099107664
1259.9231754161333,312.38940988806826
1290.6530089628682,312.3894098653701
1321.3828425096033,312.3894098426719
1352.1126760563382,312.38940981997376
1382.842509603073,312.3894097972756
1413.5723431498081,312.3894097745775
1444.302176696543,312.38940975187927
1475.032010243278,312.3894097291811
1505.761843790013,312.389409706483
1536.491677336748,312.3894096837848
1567.221510883483,312.38940966108663
1597.951344430218,312.3894096383885
1628.6811779769528,312.3894096351001
1659.4110115236879,312.38940963447084
1690.1408450704228,312.3894096338416
1720.8706786171576,312.3894096332123
1751.6005121638927,312.38940963258307
1782.3303457106276,312.3894096319538
1813.0601792573625,312.38940963132455
1843.7900128040976,312.3894096306953
1874.5198463508325,312.38940963006604
1905.2496798975674,312.3894096294368
1935.9795134443025,312.3894096288075
1966.7093469910374,312.38940962817827
1997.4391805377722,312.389409627549
2028.1690140845074,312.38940962691976
2058.8988476312425,312.3894096262905
2089.6286811779773,312.38940962566124
2120.358514724712,312.38940962503204
2151.088348271447,312.3894096244028
2181.818181818182,312.38940962377353
2212.548015364917,312.3894096231443
2243.277848911652,312.389409622515
2274.007682458387,312.38940962188576
2304.737516005122,312.3894096212565
2335.467349551857,312.38940962062725
2366.1971830985917,312.389409619998
2396.9270166453266,312.38940961936873
2427.656850192062,312.3894096187395
2458.386683738797,312.3894096181102
2489.1165172855317,312.38940961748096
2519.8463508322666,312.3894096168517
2550.5761843790015,312.3894096166731
2581.3060179257363,312.3894096166424
2612.0358514724717,312.3894096166117
2642.7656850192066,312.389409616581
2673.4955185659414,312.3894096165504
2704.2253521126763,312.3894096165197
2734.955185659411,312.389409616489
2765.685019206146,312.3894096164583
2796.4148527528814,312.3894096164276
2827.1446862996163,312.3894096163969
2857.874519846351,312.3894096163662
2888.604353393086,312.3894096163355
2919.334186939821,312.3894096163049
2950.064020486556,312.3894096162742
2980.793854033291,312.3894096162435
3011.523687580026,312.3894096162128
3042.253521126761,312.3894096161821
